,term,N,N_ordered,N_not_ordered,freq_ordered (of total),N_made,N_not_made,freq_made (of total),freq_made (of ordered),N_crystallised,N_not_crystallised,freq_crystallised (of total),freq_crystallised (of made),N_assayed,N_not_assayed,freq_assayed (of total),freq_assayed (of made)
3739,protomer,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3740,asymmetric,91,0.0,91.0,0.0,0.0,91.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,91.0,0.0,0.0
3741,boost,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
3742,piperdine,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3743,snake,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3744,terminus,26,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0
3745,tyrosine,38,1.0,37.0,0.0263,1.0,37.0,0.0263,1.0,0.0,38.0,0.0,0.0,1.0,37.0,0.0263,1.0
3746,tyr54,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3747,decorations,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3748,no-go,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3749,confirmed,66,19.0,47.0,0.2879,18.0,48.0,0.2727,0.9474,2.0,64.0,0.0303,0.1111,18.0,48.0,0.2727,1.0
3750,hitstry-uni-714a760b-6,16,11.0,5.0,0.6875,10.0,6.0,0.625,0.9091,0.0,16.0,0.0,0.0,10.0,6.0,0.625,1.0
3751,jan-ghe-83b26c96-4,16,11.0,5.0,0.6875,10.0,6.0,0.625,0.9091,0.0,16.0,0.0,0.0,10.0,6.0,0.625,1.0
3752,aloxistatin,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
3753,scanning,16,13.0,3.0,0.8125,13.0,3.0,0.8125,1.0,3.0,13.0,0.1875,0.2308,13.0,3.0,0.8125,1.0
3754,4-amidoquinolones,16,13.0,3.0,0.8125,13.0,3.0,0.8125,1.0,3.0,13.0,0.1875,0.2308,13.0,3.0,0.8125,1.0
3755,mat-pos-916a2c5a-2,108,86.0,22.0,0.7963,84.0,24.0,0.7778,0.9767,7.0,101.0,0.0648,0.0833,84.0,24.0,0.7778,1.0
3756,mat-pos-916a2c5a-3,86,81.0,5.0,0.9419,79.0,7.0,0.9186,0.9753,6.0,80.0,0.0698,0.0759,79.0,7.0,0.9186,1.0
3757,mat-pos-916a2c5a-4,33,21.0,12.0,0.6364,17.0,16.0,0.5152,0.8095,3.0,30.0,0.0909,0.1765,17.0,16.0,0.5152,1.0
3758,componuds,16,13.0,3.0,0.8125,13.0,3.0,0.8125,1.0,3.0,13.0,0.1875,0.2308,13.0,3.0,0.8125,1.0
3759,aar-pos-d2a4d1df-22,13,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
3760,bar-com-4e0-39,76,43.0,33.0,0.5658,35.0,41.0,0.4605,0.814,6.0,70.0,0.0789,0.1714,35.0,41.0,0.4605,1.0
3761,co-valent,16,16.0,0.0,1.0,10.0,6.0,0.625,0.625,3.0,13.0,0.1875,0.3,10.0,6.0,0.625,1.0
3762,classical,14,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
3763,positional,14,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
3764,isomer,34,5.0,29.0,0.1471,1.0,33.0,0.0294,0.2,0.0,34.0,0.0,0.0,1.0,33.0,0.0294,1.0
3765,paremeter,14,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
3766,viable,14,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
3767,optimising,14,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
3768,vital,14,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
3769,surechembl,26,19.0,7.0,0.7308,18.0,8.0,0.6923,0.9474,2.0,24.0,0.0769,0.1111,18.0,8.0,0.6923,1.0
3770,mpro-x0755,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
3771,amino-pyridine,1095,94.0,1001.0,0.0858,89.0,1006.0,0.0813,0.9468,5.0,1090.0,0.0046,0.0562,89.0,1006.0,0.0813,1.0
3772,matt,81,74.0,7.0,0.9136,71.0,10.0,0.8765,0.9595,3.0,78.0,0.037,0.0423,71.0,10.0,0.8765,1.0
3773,lefker,70,68.0,2.0,0.9714,66.0,4.0,0.9429,0.9706,3.0,67.0,0.0429,0.0455,66.0,4.0,0.9429,1.0
3774,throughput,75,68.0,7.0,0.9067,66.0,9.0,0.88,0.9706,3.0,72.0,0.04,0.0455,66.0,9.0,0.88,1.0
3775,eric,124,37.0,87.0,0.2984,24.0,100.0,0.1935,0.6486,4.0,120.0,0.0323,0.1667,24.0,100.0,0.1935,1.0
3776,cmps,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3777,1fzcpydohtmlqkxfpjqip0tizxevhhd4l,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3778,query,66,27.0,39.0,0.4091,25.0,41.0,0.3788,0.9259,3.0,63.0,0.0455,0.12,25.0,41.0,0.3788,1.0
3779,query2,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3780,fusedmodel_nolig,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3781,xrays,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3782,flipping,64,30.0,34.0,0.4688,27.0,37.0,0.4219,0.9,3.0,61.0,0.0469,0.1111,27.0,37.0,0.4219,1.0
3783,splif,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3784,_score,181,30.0,151.0,0.1657,25.0,156.0,0.1381,0.8333,3.0,178.0,0.0166,0.12,25.0,156.0,0.1381,1.0
3785,dise,91,30.0,61.0,0.3297,27.0,64.0,0.2967,0.9,3.0,88.0,0.033,0.1111,27.0,64.0,0.2967,1.0
3786,clustering,79,39.0,40.0,0.4937,37.0,42.0,0.4684,0.9487,3.0,76.0,0.038,0.0811,37.0,42.0,0.4684,1.0
3787,selected2,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3788,selected1,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3789,aware,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3790,n-n,79,30.0,49.0,0.3797,25.0,54.0,0.3165,0.8333,3.0,76.0,0.038,0.12,25.0,54.0,0.3165,1.0
3791,pv-002277046329,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3792,z2928955304,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3793,pv-001867141757,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3794,z1892495767,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3795,pv-001748215410,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3796,pv-000583972887,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3797,pv-001480893198,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3798,z1168488213,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3799,z2844889489,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3800,z753334946,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3801,pv-001763113110,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3802,z253767654,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3803,pv-001822841664,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3804,pv-001866074687,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3805,z1615460427,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3806,pv-001802409851,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3807,pv-002420113987,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3808,z2872037056,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3809,pv-001831078512,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3810,z1549741431,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3811,z1500834591,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3812,pv-000961429563,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3813,pv-002220200962,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3814,pv-001827965241,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3815,z872397000,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3816,z2196194184,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3817,pv-001833846204,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3818,z2844902552,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3819,pv-002575024050,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3820,z1129286048,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3821,z807911692,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3822,pv-000583972893,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3823,z2454425334,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3824,z1168475133,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3825,z1533000368,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3826,z2294336937,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3827,z1450263658,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3828,z3089567705,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3829,z2774676815,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3830,z1890058431,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3831,z2002942936,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3832,z2194312931,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3833,z1864147155,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3834,z1129288567,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3835,pv-001871500448,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3836,z750350474,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3837,z2493443321,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3838,z1498001981,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3839,z2069076058,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3840,z2414553231,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3841,pv-001801302825,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3842,z1129286283,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3843,pv-002400730800,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3844,z1348840233,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3845,z3089566497,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3846,z2414557205,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3847,pv-002108321132,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3848,z2454423193,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3849,z1243866128,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3850,pv-002596497200,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3851,z1870012350,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3852,pv-001962948064,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3853,pv-002580993121,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3854,z3018666658,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3855,z1952750170,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3856,pv-002352797345,60,27.0,33.0,0.45,25.0,35.0,0.4167,0.9259,3.0,57.0,0.05,0.12,25.0,35.0,0.4167,1.0
3857,cadd,12,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
3858,ml300,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3859,17a,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
3860,subsites,7,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
3861,h61,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
3862,toss,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
3863,speculative,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
3864,double-ring,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
3865,chromone,52,0.0,52.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0
3866,treweren,4207,5.0,4202.0,0.0012,5.0,4202.0,0.0012,1.0,9.0,4198.0,0.0021,1.8,4.0,4203.0,0.001,0.8
3867,5rf3,1914,0.0,1914.0,0.0,0.0,1914.0,0.0,0.0,0.0,1914.0,0.0,0.0,0.0,1914.0,0.0,0.0
3868,requiring,2913,0.0,2913.0,0.0,0.0,2913.0,0.0,0.0,0.0,2913.0,0.0,0.0,0.0,2913.0,0.0,0.0
3869,none,49,1.0,48.0,0.0204,0.0,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,0.0,0.0
3870,extensiveness,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3871,x1458_0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3872,explicit,2912,0.0,2912.0,0.0,0.0,2912.0,0.0,0.0,0.0,2912.0,0.0,0.0,0.0,2912.0,0.0,0.0
3873,hydrogens,2912,0.0,2912.0,0.0,0.0,2912.0,0.0,0.0,0.0,2912.0,0.0,0.0,0.0,2912.0,0.0,0.0
3874,tautomers,2912,0.0,2912.0,0.0,0.0,2912.0,0.0,0.0,0.0,2912.0,0.0,0.0,0.0,2912.0,0.0,0.0
3875,jag-ucb-cedd89ab-8,7,7.0,0.0,1.0,6.0,1.0,0.8571,0.8571,0.0,7.0,0.0,0.0,6.0,1.0,0.8571,1.0
3876,ai-based,33,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0
3877,optimised,33,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0
3878,reinforcement,33,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0
3879,datasets,33,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0
3880,entities,33,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0
3881,nces,222,6.0,216.0,0.027,1.0,221.0,0.0045,0.1667,0.0,222.0,0.0,0.0,1.0,221.0,0.0045,1.0
3882,artificial,33,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0
3883,intelligence,33,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0
3884,prioritise,14,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
3885,sampling,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
3886,ml-300,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3887,mak-unk-9159f8ed-7,6,1.0,5.0,0.1667,1.0,5.0,0.1667,1.0,0.0,6.0,0.0,0.0,1.0,5.0,0.1667,1.0
3888,chembridge,949,0.0,949.0,0.0,0.0,949.0,0.0,0.0,0.0,949.0,0.0,0.0,0.0,949.0,0.0,0.0
3889,express,801,0.0,801.0,0.0,0.0,801.0,0.0,0.0,0.0,801.0,0.0,0.0,0.0,801.0,0.0,0.0
3890,nc1cnccc1,100,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
3891,x0464,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
3892,x0669,53,0.0,53.0,0.0,0.0,53.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,53.0,0.0,0.0
3893,x0165,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
3894,x0705,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3895,swap,32,3.0,29.0,0.0938,1.0,31.0,0.0312,0.3333,0.0,32.0,0.0,0.0,1.0,31.0,0.0312,1.0
3896,pet-sgc-a8a902d9-1,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
3897,hhh,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
3898,indicated,17,3.0,14.0,0.1765,1.0,16.0,0.0588,0.3333,0.0,17.0,0.0,0.0,1.0,16.0,0.0588,1.0
3899,demetri,16,3.0,13.0,0.1875,1.0,15.0,0.0625,0.3333,0.0,16.0,0.0,0.0,1.0,15.0,0.0625,1.0
3900,moustakas,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
3901,ome,5273,160.0,5113.0,0.0303,138.0,5135.0,0.0262,0.8625,15.0,5258.0,0.0028,0.1087,138.0,5135.0,0.0262,1.0
3902,distal,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
3903,homopiperazine,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
3904,docking-based,11,8.0,3.0,0.7273,8.0,3.0,0.7273,1.0,0.0,11.0,0.0,0.0,8.0,3.0,0.7273,1.0
3905,x0350,15,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0
3906,discovered,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3907,dopamine,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3908,accident,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3909,relaxed,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3910,side-chains,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3911,ann-uni-26382800-5,4,2.0,2.0,0.5,2.0,2.0,0.5,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.5,1.0
3912,ocf3,4,2.0,2.0,0.5,2.0,2.0,0.5,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.5,1.0
3913,entire,20,12.0,8.0,0.6,12.0,8.0,0.6,1.0,0.0,20.0,0.0,0.0,12.0,8.0,0.6,1.0
3914,drugscorex,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
3915,hf-3c,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
3916,pcm,39,14.0,25.0,0.359,14.0,25.0,0.359,1.0,2.0,37.0,0.0513,0.1429,14.0,25.0,0.359,1.0
3917,implicit,29,12.0,17.0,0.4138,12.0,17.0,0.4138,1.0,0.0,29.0,0.0,0.0,12.0,17.0,0.4138,1.0
3918,solvation,41,12.0,29.0,0.2927,12.0,29.0,0.2927,1.0,0.0,41.0,0.0,0.0,12.0,29.0,0.2927,1.0
3919,capped,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
3920,simplistic,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
3921,entropy,24,12.0,12.0,0.5,12.0,12.0,0.5,1.0,0.0,24.0,0.0,0.0,12.0,12.0,0.5,1.0
3922,isatins,9,9.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,9.0,0.0,1.0,1.0
3923,bmcl,9,9.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,9.0,0.0,1.0,1.0
3924,jm0602357,9,9.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,9.0,0.0,1.0,1.0
3925,isatin,59,26.0,33.0,0.4407,26.0,33.0,0.4407,1.0,0.0,59.0,0.0,0.0,26.0,33.0,0.4407,1.0
3926,sars-cov-19,9,9.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,9.0,0.0,1.0,1.0
3927,northeastern,9,9.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,9.0,0.0,1.0,1.0
